Perturbation GeneID X60.0 X63.0 X66.0 X69.0 X72.0 X75.0 X78.0 X81.0 X84.0 X87.0 X90.0 X93.0 X96.0 X99.0 X102.0 X105.0 X108.0 X111.0 X114.0 X117.0 X120.0 X123.0 X126.0 X129.0 X132.0 X135.0
1 10 1.170316634067e-15 3.30578035153514e-13 5.19771063487281e-11 4.57174684635981e-09 2.25778917370324e-07 6.2933152285543e-06 9.97667607218944e-05 0.000909993111140643 0.00486373233598312 0.0156913267874325 0.0320761474182633 0.0448289696419234 0.0475170503542955 0.0425379123845383 0.0346113109881766 0.026366116515826 0.0189317110736818 0.0128240100244464 0.00819550027522604 0.00494135306938849 0.00281083354843062 0.0015084926420865 0.000763783179062832 0.000364851224904584 0.000164429733646691 6.99139313218015e-05
1 11 5.90386716938697e-09 2.43064644868466e-08 9.38444393502986e-08 3.39779232854363e-07 1.15368342998263e-06 3.67348283402796e-06 1.09690978501556e-05 3.07160483602665e-05 8.06605744953474e-05 0.000198636390675368 0.00045873075287735 0.000993478407525679 0.00201771835781661 0.00384294522537126 0.00686387521677555 0.0114967768244874 0.0180586116424949 0.0266007665680052 0.0367456117430678 0.0476012489665684 0.0578272780103875 0.0658792563868534 0.0703824730414016 2.42121135285466e-06 0 0
1 12 1.29543593827396e-05 6.53941422082757e-05 0.00027885516193749 0.00100446651490392 0.00305639283970918 0.00785597003305395 0.0170571861127582 0.0312841561889584 0.048347628691376 0.0589040925964243 0.038599220126146 0.00738595212935697 0.000277909180952287 1.73262219755317e-06 1.66422061585063e-09 2.37936702492319e-13 2.67139542360556e-18 0 0 0 0 0 0 0 0 0
2 9 2.19699006307339e-19 1.63151356981352e-17 9.45395201062437e-16 4.27595254701998e-14 1.51010490382609e-12 4.16600402090102e-11 8.98224830371511e-10 1.51445105620378e-08 1.99814982699402e-07 2.06470222646985e-06 1.67250107357678e-05 0.000106331826941224 0.000531326730075108 0.00209028364515 0.00648779943385881 0.0159270904197987 0.0310208887063218 0.0481123421025155 0.0596839893339288 0.0595253204356418 0.0480121267415687 0.0315233288211275 0.0169637776476067 0.00753325298813436 0.00277815753994226 0.000855448345427624
2 10 7.88839102846809e-11 2.71325715747033e-09 6.51920414092016e-08 1.09668900434852e-06 1.29558904848027e-05 0.000107925708483162 0.000637566816208531 0.00269259073695837 0.00822455880874749 0.0184809577861792 0.0313111401767795 0.0414016693917781 0.0446723323344297 0.0413414368098016 0.0343120902800148 0.0263180615928407 0.018926518183375 0.0128236227988549 0.00819548014949796 0.00494135233883927 0.00281083352992476 0.0015084926417598 0.000763783179058816 0.00036485122490455 0.000164429733646691 6.99139313218015e-05
2 11 5.90386716938697e-09 2.43064644868466e-08 9.38444393502986e-08 3.39779232854363e-07 1.15368342998263e-06 3.67348283402796e-06 1.09690978501556e-05 3.07160483602665e-05 8.06605744953474e-05 0.000198636390675368 0.00045873075287735 0.000993478407525679 0.00201771835781661 0.00384294522537126 0.00686387521677555 0.0114967768244874 0.0180586116424949 0.0266007665680052 0.0367456117430678 0.0476012489665684 0.0578272780103875 0.0658792563829559 0.0694756890681899 0.00167285614211842 1.94091291349275e-11 0
2 12 1.29543593827396e-05 6.53941422082757e-05 0.00027885516193749 0.00100446651490392 0.00305639283970918 0.00785597003308985 0.0170571864736886 0.0312846939719477 0.0484700379080441 0.063435408620488 0.0488505148682151 2.78087118044333e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 13 7.17103559311913e-09 5.20822474872055e-08 3.33476305406521e-07 1.88238160946583e-06 9.36737241558236e-06 4.10956002010256e-05 0.000158942593154655 0.000541941846086711 0.0016290428350644 0.00431697712391322 0.0100854299219406 0.0207719133680912 0.0377158788660414 0.0603530356944615 0.0844012855829784 0.0957057133877789 0.0693926187214685 0.0235627067665491 0.00300707514830979 0.000128491350408288 1.73565276522726e-06 7.19247691406782e-09 8.99053345054756e-12 3.3586405692909e-15 0 0
0 14 1.20146324159779e-05 3.4019655212776e-05 8.9791387122052e-05 0.000220914797500713 0.00050664094722447 0.00108308145644146 0.00215827761831799 0.00400902576405619 0.00694153856674136 0.0112036101415197 0.016855653252745 0.0236384253224118 0.0309013062683954 0.037652065453573 0.0421062429342611 0.031539137597306 0.00579913490422601 0.000115474275542577 1.81290768254669e-07 2.00463253234192e-11 1.50413209483994e-16 0 0 0 0 0
0 15 0.000148954011981618 0.000289483749884037 0.000538956188249608 0.000961258126793619 0.00164241867583768 0.00268834507297997 0.00421544513145751 0.00633226609853593 0.00911238711412869 0.0125621060166578 0.0165901394237079 0.0209891526452504 0.0254388255705883 0.0295358036373168 0.0327539949432568 0.0319574585396198 0.0174529830844909 0.00273439464534993 8.2401311957048e-05 4.04877153380005e-07 3.02678296725734e-10 3.33112110269477e-14 0 0 0 0
0 16 7.20412818406488e-09 1.48102282864906e-07 2.16826280284075e-06 2.26717005029504e-05 0.000169966428144233 0.000918459467171945 0.00360414704305811 0.0103792642440676 0.0222681946970309 0.0363589361236875 0.0465176899902863 0.0483983766404641 0.0426871971811839 0.0331665073383825 0.0233361178632804 0.0150905402474367 0.00902060660762974 0.00499268621552082 0.0025594639926802 0.00121535448704352 0.00053456282935336 0.000217789339970681 8.2189543661729e-05 2.87301973288002e-05 9.30256553027571e-06 2.79003053607148e-06
1 13 8.19280469809817e-09 5.95032162872156e-08 3.80991867375547e-07 2.15059382893639e-06 1.07020878279921e-05 4.69511302832176e-05 0.000181589619381454 0.00061916073976478 0.00186115793447255 0.00493208407671489 0.0115224581685384 0.0237316113162065 0.0430898474221912 0.0689524724792224 0.0964272509975065 0.109342396658943 0.0792800656602651 0.0269200525070782 0.00343553996946357 0.000146799513908439 1.98295824146592e-06 8.21730109791669e-09 1.02715547476479e-11 3.83719839038491e-15 0 0
1 14 1.94519325777411e-05 5.5078508988496e-05 0.000145374069541838 0.000357665519645397 0.000820261927732983 0.00175353075628706 0.0034942950613901 0.0064906936945603 0.0112384911590366 0.0181388711326961 0.0272896431013691 0.0382710880945494 0.050029839056714 0.0609594545432442 0.068170857859122 0.0510625008624501 0.00938891655280386 0.000186955184690506 2.93513415888359e-07 3.24554056355518e-11 2.43522024510156e-16 0 0 0 0 0
1 15 0.000172322524826689 0.000334899141101826 0.000623509832965103 0.0011120642218062 0.00190008801560701 0.0031101036112976 0.00487678135457523 0.00732569782752019 0.0105419755655767 0.0145329004377415 0.0191928681523055 0.0242820165075424 0.0294297722675001 0.0341695009611143 0.0378925752431504 0.036971074960177 0.0201910782453319 0.0031633776283745 9.53287658154683e-05 4.6839593232101e-07 3.50163702260378e-10 3.8537209658419e-14 0 0 0 0
1 16 5.60538870928741e-09 1.15235437651835e-07 1.68708211781896e-06 1.76403987786733e-05 0.000132247493789044 0.000714635025319448 0.00280431505736623 0.00807589886214095 0.0173264389446942 0.0282901643088788 0.036194488436567 0.0376578132755021 0.0332140582450773 0.0258061990307574 0.0181573686985154 0.0117416489211191 0.0070187544054499 0.00388470974231117 0.00199146797500516 0.000945643129244216 0.000415932694630559 0.000169457549349988 6.3950047568836e-05 2.23543945371039e-05 7.23814102949395e-06 2.17086721194873e-06
2 13 9.38829510694517e-09 6.81858990787909e-08 4.36586030800669e-07 2.46440752162894e-06 1.22637317124085e-05 5.38022182813414e-05 0.000208087095681249 0.000709508398863163 0.00213273727048772 0.00565177158625706 0.0132038101272914 0.0271945174589095 0.0493774987467575 0.0790139865214566 0.110497872471708 0.125297590429943 0.0908485774949984 0.0308482145668109 0.00393685243009841 0.000168220433528515 2.27231062397381e-06 9.41636601050367e-09 1.17703754369303e-11 4.39712066872424e-15 0 0
2 14 2.41379368376505e-05 6.83470172314711e-05 0.000180394934765942 0.000443827763010302 0.00101786444728915 0.00217595935360012 0.00433607679580716 0.00805431305119335 0.013945863150777 0.0225085566155168 0.0338637654058416 0.0474906595240559 0.0620821139659236 0.0756446927595373 0.084593335628507 0.0633635457898256 0.0116507228173762 0.000231993012596324 3.64221306309864e-07 4.027396908458e-11 3.02186902134818e-16 0 0 0 0 0
2 15 0.00021922618253242 0.000426053763493654 0.000793220042416625 0.00141475175298558 0.00241726403762981 0.00395662808835231 0.00620416953897386 0.00931964507094176 0.0134113463223439 0.0184885422685982 0.0244168846824274 0.0308912243973416 0.037440123590873 0.0434699367495732 0.0482063771131084 0.0470340580013614 0.0256867928867065 0.00402440250962243 0.000121275854310228 5.95886418561487e-07 4.45473113774109e-10 4.90264715385497e-14 0 0 0 0
2 16 1.60196189601152e-08 3.29330916663438e-07 4.8215055339703e-06 5.04144282216518e-05 0.000377949606852511 0.00204235270645935 0.00801444128017155 0.0230800804799802 0.0495171636125459 0.0808503524111359 0.103440090113538 0.10762212057572 0.0949223300649299 0.0737514375402134 0.0518918745789384 0.0335564135575689 0.020058871379186 0.0111020971193956 0.00569140871140595 0.00270254988340837 0.00118869245766946 0.000484292082367795 0.000182762596434499 6.38865386757468e-05 2.06858555732185e-05 6.20411310473548e-06
